time,open,high,low,close,Up Trend,Down Trend,EMA,EMA
2026-03-18T10:51:00+05:30,142.18,142.29,142.14,142.14,141.45625152396008,,142.21089998738736,140.94564560594318
2026-03-18T10:54:00+05:30,142.14,142.34,142.14,142.26,141.45625152396008,,142.21099808931066,140.97167242562747
2026-03-18T10:57:00+05:30,142.26,142.35,142.11,142.23,141.45625152396008,,142.21103605516618,140.99658980333783
2026-03-18T11:00:00+05:30,142.12,142.23,142.09,142.09,141.45625152396008,,142.21079422488611,141.01824149040044
2026-03-18T11:03:00+05:30,142.08,142.2,142.08,142.1,141.45625152396008,,142.2105728578034,141.03966245098658
2026-03-18T11:06:00+05:30,142.06,142.08,142,142.08,141.45625152396008,,142.21031197297265,141.06026319453142
2026-03-18T11:09:00+05:30,142.13,142.26,142.05,142.19,141.45625152396008,,142.21027138961006,141.0826342203823
2026-03-18T11:12:00+05:30,142.23,142.33,142.23,142.3,141.583519410746,,142.2104506675529,141.10674047344403
2026-03-18T11:15:00+05:30,142.31,142.57,142.31,142.48,141.7321674696714,,142.21098922765768,141.13393373139564
2026-03-18T11:18:00+05:30,142.48,142.5,142.39,142.42,141.77495072270426,,142.21140683159842,141.15940039017988
2026-03-18T11:21:00+05:30,142.42,142.42,142.25,142.25,141.77495072270426,,142.211483940826,141.18099642205752
2026-03-18T11:24:00+05:30,142.32,142.4,142.29,142.29,141.77495072270426,,142.21164081606912,141.20295688894745
2026-03-18T11:27:00+05:30,142.23,142.4,142.23,142.37,141.77495072270426,,142.21195721803502,141.22606665352276
2026-03-18T11:30:00+05:30,142.37,142.41,142.37,142.41,141.81885166916626,,142.2123529079091,141.24951087820548
2026-03-18T11:33:00+05:30,142.41,142.41,142.26,142.3,141.81885166916626,,142.2125280269742,141.2703126429935
2026-03-18T11:36:00+05:30,142.26,142.34,142.25,142.25,141.81885166916626,,142.21260289605118,141.2897123926372
2026-03-18T11:39:00+05:30,142.21,142.26,142.21,142.22,141.81885166916626,,142.21261767547966,141.30813392941667
2026-03-18T11:42:00+05:30,142.25,142.39,142.11,142.11,141.81885166916626,,142.21241264515902,141.32401246546783
2026-03-18T11:45:00+05:30,142.19,142.25,142.11,142.11,141.81885166916626,,142.21220802448937,141.33957657506252
2026-03-18T11:48:00+05:30,142.11,142.17,141.9,141.92,141.81885166916626,,142.2116241922726,141.3510701082296
2026-03-18T11:51:00+05:30,141.92,142,141.8,141.81,,142.45103405107793,142.210821746334,141.36015782885872
2026-03-18T11:54:00+05:30,141.82,141.9,141.81,141.81,,142.37793064597017,142.21002090368398,141.3690655946239
2026-03-18T11:57:00+05:30,141.88,141.9,141.8,141.8,,142.35063758137315,142.2092016810992,141.3775989491858
2026-03-18T12:00:00+05:30,141.7,141.79,141.7,141.75,,142.22557382323583,142.20828419522286,141.38497322741975
2026-03-18T12:03:00+05:30,141.75,141.75,141.7,141.75,,142.17251644091223,142.20736854248514,141.39220148034212
2026-03-18T12:06:00+05:30,141.75,141.75,141.69,141.72,,142.140764796821,142.2063947791635,141.39869254013732
2026-03-18T12:09:00+05:30,141.73,141.75,141.73,141.75,,142.12768831713893,142.20548290148287,141.40564912350092
2026-03-18T12:12:00+05:30,141.75,141.75,141.69,141.69,,142.08691948542503,142.20445296561576,141.41127983392664
2026-03-18T12:15:00+05:30,141.7,141.7,141.63,141.69,,142.01622753688252,142.20342508756258,141.416799045136
2026-03-18T12:18:00+05:30,141.63,141.82,141.63,141.75,,142.01622753688252,142.20251914333167,141.42339708384617
2026-03-18T12:21:00+05:30,141.73,141.82,141.73,141.74,,142.01622753688252,142.2015950291592,141.42966644852248
2026-03-18T12:24:00+05:30,141.82,141.87,141.74,141.75,,142.01622753688252,142.20069274138865,141.4360096871656
2026-03-18T12:27:00+05:30,141.8,141.8,141.75,141.76,,142.01622753688252,142.19981223641085,141.4424253369247
2026-03-18T12:30:00+05:30,141.76,141.77,141.74,141.74,,142.01622753688252,142.1988935306438,141.44831790451036
2026-03-18T12:33:00+05:30,141.74,141.85,141.74,141.85,,142.01622753688252,142.1981964406725,141.45627200541114
2026-03-18T12:36:00+05:30,141.83,141.83,141.69,141.76,,142.01622753688252,142.1973209233085,141.46228642114556
2026-03-18T12:39:00+05:30,141.78,141.8,141.76,141.79,,142.01622753688252,142.1965070952899,141.46877579894465
2026-03-18T12:42:00+05:30,141.84,141.84,141.67,141.75,,142.01622753688252,142.19561497322138,141.47434459500516
2026-03-18T12:45:00+05:30,141.78,141.85,141.71,141.8,,142.01622753688252,142.19482453371444,141.48079321688624
2026-03-18T12:48:00+05:30,141.76,141.8,141.69,141.8,,142.01622753688252,142.19403567350722,141.48711414328454
2026-03-18T12:51:00+05:30,141.78,141.82,141.7,141.75,,142.01622753688252,142.19314848934437,141.49231980381356
2026-03-18T12:54:00+05:30,141.73,141.88,141.7,141.71,,142.01622753688252,142.19218315769731,141.49663030274795
2026-03-18T12:57:00+05:30,141.81,141.81,141.71,141.71,,142.01622753688252,142.19121975478484,141.50085544526777
2026-03-18T13:00:00+05:30,141.71,141.85,141.71,141.72,,142.01622753688252,142.19027825677327,141.50519494140107
2026-03-18T13:03:00+05:30,141.71,141.85,141.71,141.8,,142.01622753688252,142.18949848003646,141.51103266533372
2026-03-18T13:06:00+05:30,141.8,141.84,141.75,141.83,,142.01622753688252,142.18878020135506,141.5173488501786
2026-03-18T13:09:00+05:30,141.83,141.85,141.76,141.85,,142.01622753688252,142.18810331783587,141.52393600166022
2026-03-18T13:12:00+05:30,141.85,142.24,141.85,142.15,141.61317649409034,,142.1880271873307,141.53633330855803
2026-03-18T13:15:00+05:30,142.12,142.2,142.1,142.1,141.73135884468127,,142.18785130883452,141.54749502522026
2026-03-18T13:18:00+05:30,142.11,142.17,142.1,142.16,141.73722296021316,,142.18779566186382,141.55962383660204
2026-03-18T13:21:00+05:30,142.16,142.25,142.13,142.25,141.79600066419187,,142.1879199462557,141.57329465171884
2026-03-18T13:24:00+05:30,142.25,142.3,142.14,142.14,141.81740059777266,,142.18782420210735,141.58451653980362
2026-03-18T13:27:00+05:30,142.1,142.16,141.85,141.85,141.81740059777266,,142.18714922867656,141.58977363802532
2026-03-18T13:30:00+05:30,141.85,141.99,141.85,141.99,141.81740059777266,,142.18675532412377,141.59769891251986
2026-03-18T13:33:00+05:30,141.98,142,141.9,141.9,141.81740059777266,,142.18618238641324,141.603685072668
2026-03-18T13:36:00+05:30,142.01,142.15,142,142.15,141.81740059777266,,142.18611009393288,141.6145031900409
2026-03-18T13:39:00+05:30,142.1,142.25,142.1,142.21,141.81740059777266,,142.18615782601293,141.62629520607967
2026-03-18T13:42:00+05:30,142.21,142.24,142.15,142.15,141.81740059777266,,142.1860855826043,141.6366655980385
2026-03-18T13:45:00+05:30,142.15,142.17,142.15,142.17,141.81740059777266,,142.18605344357812,141.64722667530506
2026-03-18T13:48:00+05:30,142.17,142.18,141.85,142,141.81740059777266,,142.1856817084261,141.65421228569505
2026-03-18T13:51:00+05:30,142,142,141.9,142,141.81740059777266,,142.18531071600168,141.66105956716643
2026-03-18T13:54:00+05:30,142,142.08,141.93,142,141.81740059777266,,142.18494046482087,141.6677712589057
2026-03-18T13:57:00+05:30,142,142.14,142,142.1,141.81740059777266,,142.18477075360244,141.67633024387786
2026-03-18T14:00:00+05:30,142.24,142.24,142.05,142.16,141.81740059777266,,142.18472126158724,141.68590786281098
2026-03-18T14:03:00+05:30,142.1,142.12,141.92,141.92,141.81740059777266,,142.18419234797767,141.6905433506761
2026-03-18T14:06:00+05:30,141.92,141.96,141.77,141.79,,142.35853460037333,142.18340475087882,141.69251278927658
2026-03-18T14:09:00+05:30,141.88,142,141.8,141.8,,142.35853460037333,142.18263870742052,141.69464124889487
2026-03-18T14:12:00+05:30,141.8,141.87,141.65,141.85,,142.2824630263024,142.18197409461848,141.69771765980784
2026-03-18T14:15:00+05:30,141.77,141.83,141.71,141.8,,142.28221672367215,142.18121090961424,141.69974305268292
2026-03-18T14:18:00+05:30,141.8,141.89,141.66,141.78,,142.28221672367215,142.1804092894152,141.70133229916445
2026-03-18T14:21:00+05:30,141.75,141.8,141.68,141.76,,142.25299554617445,142.17956931081497,141.70249403581465
2026-03-18T14:24:00+05:30,141.78,141.95,141.76,141.8,,142.25299554617445,142.17881093057358,141.70442484698663
2026-03-18T14:27:00+05:30,141.87,141.87,141.52,141.63,,142.25299554617445,142.17771440523777,141.70295108764034
2026-03-18T14:30:00+05:30,141.63,141.63,141.55,141.6,,142.12864375316116,142.17656013070183,141.7009124522415
2026-03-18T14:33:00+05:30,141.6,141.6,141.53,141.56,,142.07077937784504,142.1753282423288,141.69812210665256
2026-03-18T14:36:00+05:30,141.56,141.57,141.4,141.45,,141.99120144006054,142.1738790350514,141.69320879760994
2026-03-18T14:39:00+05:30,141.4,141.48,141.25,141.44,,141.88958129605447,142.1724127432731,141.6881947620137
2026-03-18T14:42:00+05:30,141.43,141.43,141.2,141.25,,141.85912316644902,142.17056976076907,141.67951763801344
2026-03-18T14:45:00+05:30,141.25,141.55,141.25,141.49,,141.85912316644902,142.16920998102728,141.67576481349832
2026-03-18T14:48:00+05:30,141.49,141.79,141.39,141.77,,141.85912316644902,142.16841235868756,141.6776308567954
2026-03-18T14:51:00+05:30,141.76,141.78,141.15,141.15,,141.85912316644902,142.1663775687601,141.66718272101727
2026-03-18T14:54:00+05:30,141.15,141.19,141.15,141.18,,141.85912316644902,142.16440678440694,141.65753553842288
2026-03-18T14:57:00+05:30,141.18,141.19,141.18,141.19,,141.8197182885565,142.16245991770484,141.64827740894916
2026-03-18T15:00:00+05:30,141.43,141.5,141.25,141.4,,141.8197182885565,142.16093652126585,141.64336102461354
2026-03-18T15:03:00+05:30,141.36,141.44,141.33,141.42,,141.8197182885565,142.15945612861597,141.63893803402712
2026-03-18T15:06:00+05:30,141.42,141.42,141.3,141.3,,141.8197182885565,142.15773893355382,141.63222638978897
2026-03-18T15:09:00+05:30,141.3,141.37,141.26,141.34,,141.8197182885565,142.15610508953074,141.62643972860502
2026-03-18T15:12:00+05:30,141.34,141.4,141.3,141.35,,141.8197182885565,142.15449448995125,141.62096567457323
2026-03-18T15:15:00+05:30,141.35,141.35,141.01,141.02,,141.77585619198874,142.1522277676936,141.60906536418562
2026-03-18T15:18:00+05:30,141.08,141.12,141,141.03,,141.63227057278988,142.14998555437154,141.59759872331065
2026-03-18T15:21:00+05:30,141.07,141.07,140.94,141.05,,141.55904351551087,142.14778778103613,141.5867551842352
2026-03-18T15:24:00+05:30,141.04,141.5,141.03,141.35,,141.55904351551087,142.14619379945563,141.5820669627652
2026-03-18T15:27:00+05:30,141.34,141.49,141.12,141.12,,141.55904351551087,142.144143462194,141.57291712191835
2026-03-19T09:15:00+05:30,140,140.07,139.01,139.6,,140.79100772280742,142.13906025847334,141.5338494561378
2026-03-19T09:18:00+05:30,139.6,139.8,139.39,139.39,,140.79100772280742,142.13356763058428,141.49139699165983
2026-03-19T09:21:00+05:30,139.39,139.84,139.2,139.6,,140.79100772280742,142.1285055573963,141.4539435858844
2026-03-19T09:24:00+05:30,139.62,139.94,139.55,139.82,,140.79100772280742,142.12389315868023,141.42158826735204
2026-03-19T09:27:00+05:30,139.84,140.36,139.7,140.11,,140.79100772280742,142.11986939612544,141.39561622245398
2026-03-19T09:30:00+05:30,140.09,140.18,139.82,139.9,,140.79100772280742,142.11543409263666,141.3660000596331
2026-03-19T09:33:00+05:30,139.78,140.21,139.77,140.21,,140.79100772280742,142.1116270315125,141.34310896934335
2026-03-19T09:36:00+05:30,140.22,140.31,139.9,139.98,,140.79100772280742,142.10736803644454,141.31611671252466
2026-03-19T09:39:00+05:30,139.8,139.89,139.71,139.71,,140.79100772280742,142.1025780903178,141.28431242118754
2026-03-19T09:42:00+05:30,139.65,139.65,139.3,139.31,,140.74615891234285,142.09699851371377,141.24521712571848
2026-03-19T09:45:00+05:30,139.35,139.53,139.2,139.53,,140.60804302110856,142.0918696455545,141.2112524301597
2026-03-19T09:48:00+05:30,139.45,139.45,139.01,139.02,,140.5047387189977,142.08573204386508,141.16786129292882
2026-03-19T09:51:00+05:30,139.01,139.6,139.01,139.25,,140.5047387189977,142.08006624557564,141.1298838415837
2026-03-19T09:54:00+05:30,139.43,139.43,139.22,139.24,,140.5047387189977,142.0743917875425,141.0924603991761
2026-03-19T09:57:00+05:30,139.24,139.3,139.13,139.15,,140.39535452614933,142.06854884690807,141.05399583681617
2026-03-19T10:00:00+05:30,139.2,139.2,139.09,139.17,,140.24031907353438,142.06275754052064,141.01668898856238
2026-03-19T10:03:00+05:30,139.17,139.35,139.15,139.33,,140.24031907353438,142.05729748549462,140.98328920661064
2026-03-19T10:06:00+05:30,139.3,139.5,139.26,139.34,,140.24031907353438,142.05186831968942,140.9507488262817
2026-03-19T10:09:00+05:30,139.34,139.51,139.28,139.4,,140.24031907353438,142.04656988148824,140.92004092873157
2026-03-19T10:12:00+05:30,139.4,139.5,139.4,139.49,,140.24031907353438,142.04146184975698,140.89172328657847
2026-03-19T10:15:00+05:30,139.4,139.58,139.4,139.48,,140.24031907353438,142.03634404386335,140.86376837001256
2026-03-19T10:18:00+05:30,139.5,139.57,139.4,139.4,,140.24031907353438,142.0310766231963,140.8347828577351
2026-03-19T10:21:00+05:30,139.31,139.55,139.31,139.45,,140.24031907353438,142.02591962694615,140.80736141500768
2026-03-19T10:24:00+05:30,139.55,139.6,139.48,139.6,,140.24031907353438,142.02107263468451,140.78345326817583
2026-03-19T10:27:00+05:30,139.58,139.66,139.52,139.52,,140.24031907353438,142.01607548656327,140.7584343915783
2026-03-19T10:30:00+05:30,139.58,139.75,139.58,139.75,,140.24031907353438,142.01154786321348,140.73846539372528
2026-03-19T10:33:00+05:30,139.8,139.9,139.64,139.64,,140.24031907353438,142.00680950584442,140.71671360375052
2026-03-19T10:36:00+05:30,139.65,140.19,139.65,140.19,,140.24031907353438,142.00317951682175,140.70628363139903
2026-03-19T10:39:00+05:30,140.1,140.1,139.87,139.93,,140.24031907353438,141.99903730000491,140.69091167830203
2026-03-19T10:42:00+05:30,139.87,139.87,139.65,139.75,,140.24031907353438,141.99454371898594,140.6722797638802
2026-03-19T10:45:00+05:30,139.75,139.77,139.66,139.7,,140.24031907353438,141.9899592160509,140.6530266992489
2026-03-19T10:48:00+05:30,139.7,139.96,139.7,139.93,,140.24031907353438,141.9858434134214,140.63870933886773
2026-03-19T10:51:00+05:30,139.94,139.94,139.84,139.89,,140.24031907353438,141.9816559140939,140.6238834113654
2026-03-19T10:54:00+05:30,139.89,140,139.8,139.8,,140.24031907353438,141.97729696121857,140.60756888836806
2026-03-19T10:57:00+05:30,139.87,139.93,139.6,139.6,,140.24031907353438,141.9725471171402,140.58761702919247
2026-03-19T11:00:00+05:30,139.6,139.7,139.6,139.7,,140.24031907353438,141.9680065634596,140.57004045435698
2026-03-19T11:03:00+05:30,139.55,139.65,139.55,139.65,,140.24031907353438,141.9633751817144,140.55182183149844
2026-03-19T11:06:00+05:30,139.7,139.77,139.65,139.65,,140.24031907353438,141.95875305347923,140.53396397344898
2026-03-19T11:09:00+05:30,139.6,139.65,139.51,139.6,,140.2100538446298,141.95404026016558,140.51546963734108
2026-03-19T11:12:00+05:30,139.6,139.8,139.6,139.6,,140.2100538446298,141.9493368830224,140.49734152571057
2026-03-19T11:15:00+05:30,139.61,139.61,139.55,139.56,,140.1623436141502,141.94456298315623,140.47878030737965
2026-03-19T11:18:00+05:30,139.52,139.58,139.4,139.48,,140.06810925273516,141.9396387813917,140.45900247951076
2026-03-19T11:21:00+05:30,139.5,139.65,139.5,139.65,,140.06810925273516,141.93506407853178,140.44298262843134
2026-03-19T11:24:00+05:30,139.65,139.65,139.4,139.47,,140.06810925273516,141.93013887557768,140.42371564569012
2026-03-19T11:27:00+05:30,139.47,139.47,139.31,139.31,,139.96825164524392,141.92490383286923,140.40166187052793
2026-03-19T11:30:00+05:30,139.35,139.73,139.25,139.59,,139.96825164524392,141.92023869034603,140.38558935824025
2026-03-19T11:33:00+05:30,139.57,139.62,139.57,139.62,,139.96825164524392,141.91564280884683,140.37042917292857
2026-03-19T11:36:00+05:30,139.52,139.71,139.52,139.7,,139.96825164524392,141.9112159500879,140.35715334772206
2026-03-19T11:39:00+05:30,139.7,139.72,139.65,139.65,,139.96825164524392,141.90669803610172,140.3431503111335
2026-03-19T11:42:00+05:30,139.71,139.72,139.69,139.69,,139.96825164524392,141.90226906899662,140.3302166416061
2026-03-19T11:45:00+05:30,139.69,139.7,139.43,139.51,,139.96825164524392,141.897489310617,140.31397472791093
2026-03-19T11:48:00+05:30,139.48,139.51,139.22,139.22,,139.95657752334006,141.89213968162477,140.2923118620117
2026-03-19T11:51:00+05:30,139.38,139.45,139.2,139.45,,139.93241977100604,141.8872602816615,140.27563241919958
2026-03-19T11:54:00+05:30,139.34,139.51,139.34,139.43,,139.93241977100604,141.88235067070912,140.25888722277978
2026-03-19T11:57:00+05:30,139.36,139.51,139.21,139.5,,139.93241977100604,141.8775907293091,140.24385975302175
2026-03-19T12:00:00+05:30,139.54,139.57,139.4,139.55,,139.93241977100604,141.87294019838143,140.23011995593222
2026-03-19T12:03:00+05:30,139.53,139.53,139.42,139.49,,139.93241977100604,141.86817907910395,140.2154641152207
2026-03-19T12:06:00+05:30,139.49,139.6,139.4,139.48,,139.93241977100604,141.8634074925323,140.20090046937474
2026-03-19T12:09:00+05:30,139.48,139.5,139.41,139.41,,139.93241977100604,141.8585055794603,140.18523907394157
2026-03-19T12:12:00+05:30,139.48,139.51,139.41,139.51,,139.93241977100604,141.85381326062023,140.17186800317046
2026-03-19T12:15:00+05:30,139.52,139.6,139.47,139.47,,139.93241977100604,141.84905039696264,140.15796962687006
2026-03-19T12:18:00+05:30,139.44,139.5,139.42,139.49,,139.93241977100604,141.8443370095561,140.1447425055459
2026-03-19T12:21:00+05:30,139.49,139.49,139.41,139.41,,139.91761811297928,141.8394731993472,140.13019314900043
2026-03-19T12:24:00+05:30,139.41,139.45,139.3,139.31,,139.84085630168136,141.834419306841,140.11395170050537
2026-03-19T12:27:00+05:30,139.3,139.39,139.3,139.39,,139.79127067151322,141.82953535218198,140.09961602326763
2026-03-19T12:30:00+05:30,139.4,139.4,139.33,139.4,,139.7876436043619,141.8246811356941,140.08576224062867
2026-03-19T12:33:00+05:30,139.35,139.4,139.31,139.4,,139.76237924392572,141.81983661794047,140.0721827903192
2026-03-19T12:36:00+05:30,139.4,139.45,139.34,139.45,,139.76237924392572,141.81510167964288,140.05986233902576
2026-03-19T12:39:00+05:30,139.43,139.43,139.4,139.43,,139.76237924392572,141.8103362417215,140.0473898174609
2026-03-19T12:42:00+05:30,139.4,139.45,139.28,139.28,,139.75320946882184,141.80528062485493,140.03219397949138
2026-03-19T12:45:00+05:30,139.41,139.42,139.33,139.33,,139.75320946882184,141.80033500922084,140.01828914821434
2026-03-19T12:48:00+05:30,139.44,139.5,139.3,139.5,,139.75320946882184,141.79573893527635,140.00802599676456
2026-03-19T12:51:00+05:30,139.45,139.45,139.34,139.41,,139.75320946882184,141.79097222411696,139.99618389781872
2026-03-19T12:54:00+05:30,139.41,139.45,139.37,139.39,,139.75320946882184,141.78617507681602,139.98418025627777
2026-03-19T12:57:00+05:30,139.44,139.49,139.38,139.38,,139.75320946882184,141.781367534205,139.97221629080693
2026-03-19T13:00:00+05:30,139.35,139.57,139.35,139.5,,139.75320946882184,141.77680935731348,139.9628654731672
2026-03-19T13:03:00+05:30,139.5,139.5,139.4,139.49,,139.75320946882184,141.77224030764853,139.9535018004312
2026-03-19T13:06:00+05:30,139.49,139.5,139.48,139.49,,139.75320946882184,141.76768038695394,139.94432354695732
2026-03-19T13:09:00+05:30,139.48,139.49,139.31,139.41,,139.75320946882184,141.76296973683014,139.93374288266114
2026-03-19T13:12:00+05:30,139.41,139.41,139.26,139.26,,139.73129157035882,141.75796879829502,139.92040143944013
2026-03-19T13:15:00+05:30,139.26,139.31,139.2,139.2,,139.64466241332295,141.7528579715252,139.90613606440172
2026-03-19T13:18:00+05:30,139.2,139.23,139.01,139.16,,139.53669617199068,141.74767743611756,139.8913610928294
2026-03-19T13:21:00+05:30,139.16,139.16,139.01,139.05,,139.50502655479158,141.74228747121023,139.87470047712984
2026-03-19T13:24:00+05:30,139.1,139.1,139.01,139.09,,139.46002389931246,141.7369881955435,139.85916185382032
2026-03-19T13:27:00+05:30,139.01,139.24,139.01,139.01,,139.46002389931246,141.73153966768027,139.84234676760607
2026-03-19T13:30:00+05:30,139.1,139.21,139.01,139.05,,139.46002389931246,141.72618194606653,139.82665673260396
2026-03-19T13:33:00+05:30,139.05,139.09,139.01,139.08,,139.46002389931246,141.72089486925123,139.8118714507702
2026-03-19T13:36:00+05:30,139.08,139.08,138.75,138.78,,139.40023718033893,141.71501895542656,139.79143835273516
2026-03-19T13:39:00+05:30,138.76,139.15,138.7,139.15,,139.40023718033893,141.70989404242872,139.77873660317604
2026-03-19T13:42:00+05:30,139.19,139.46,138.9,138.9,,139.40023718033893,141.70427986851777,139.76133587836068
2026-03-19T13:45:00+05:30,139.05,139.12,138.91,138.96,,139.40023718033893,141.6987967918574,139.74546784116544
2026-03-19T13:48:00+05:30,138.96,138.96,138.66,138.9,,139.40023718033893,141.69320479027527,139.72872590371662
2026-03-19T13:51:00+05:30,138.9,139.15,138.68,139.02,,139.40023718033893,141.68786372176322,139.7146917274054
2026-03-19T13:54:00+05:30,139,139.21,139,139.15,,139.40023718033893,141.6827930649765,139.70350971300135
2026-03-19T13:57:00+05:30,139.01,139.09,138.95,139.09,,139.40023718033893,141.67761265925228,139.6913610058132
2026-03-19T14:00:00+05:30,139.12,139.29,139.02,139.02,,139.40023718033893,141.67230274384917,139.67806672847038
2026-03-19T14:03:00+05:30,138.66,138.85,138.66,138.69,,139.40023718033893,141.6663440970083,139.6585010506789
2026-03-19T14:06:00+05:30,138.77,138.8,138.66,138.66,,139.40023718033893,141.6603374154958,139.63872875264565
2026-03-19T14:09:00+05:30,138.66,138.72,138.61,138.66,,139.3697174082327,141.65434273534495,139.61934798526653
2026-03-19T14:12:00+05:30,138.6,138.73,138.41,138.41,,139.3002456674094,141.64786053207754,139.59540050040977
2026-03-19T14:15:00+05:30,138.4,138.73,138.4,138.48,,139.3002456674094,141.64153114040505,139.5733133617878
2026-03-19T14:18:00+05:30,138.66,138.75,138.48,138.58,,139.3002456674094,141.6354141950696,139.55364379026724
2026-03-19T14:21:00+05:30,138.59,138.59,138.23,138.39,,139.20343909154147,141.62892985102349,139.53060133897483
2026-03-19T14:24:00+05:30,138.39,138.39,138.1,138.36,,139.04609518238732,141.6223985226498,139.5074211144407
2026-03-19T14:27:00+05:30,138.23,138.3,138.1,138.26,,138.9989856641486,141.61568044368346,139.48271970623395
2026-03-19T14:30:00+05:30,138.33,138.48,138.27,138.33,,138.9989856641486,141.60911564759218,139.45989357343723
2026-03-19T14:33:00+05:30,138.33,138.5,138.33,138.5,,138.9989856641486,141.60290362831626,139.44088577990382
